"What's the difference between a relative, fixed, absolute and statically positioned element?";false;["Semi-Senior","Frontend", "CSS"]
"What existing CSS frameworks have you used locally, or in production? How would you change/improve them?";false;["Senior","Frontend", "CSS"]
"Have you played around with the new CSS Flexbox or Grid specs?";false;["Semi-Senior","Frontend", "CSS"]
"Can you explain the difference between coding a web site to be responsive versus using a mobile-first strategy?";false;["Junior","Frontend", "CSS"]
"Have you ever worked with retina graphics? If so, when and what techniques did you use?";false;["Semi-Senior","Frontend", "CSS"]
"Is there any reason you'd want to use translate() instead of absolute positioning, or vice-versa? And why?";;["Senior","Frontend", "CSS"]
"Explain event delegation.";false;["Semi-Senior","Frontend", "JS"]
"Explain how this works in JavaScript.";false;["Semi-Senior","Frontend", "JS"]
"Explain how prototypal inheritance works.";false;["Semi-Senior","Frontend", "JS"]
"What's the difference between a variable that is: null, undefined or undeclared?";false;["Semi-Senior","Frontend", "JS"]
"What is a closure, and how/why would you use one?";false;["Semi-Senior","Frontend", "JS"]
"What language constructions do you use for iterating over object properties and array items?";false;["Junior","Frontend", "JS"]
"Can you describe the main difference between the Array.forEach() loop and Array.map() methods and why you would pick one versus the other?";false;["Semi-Senior","Frontend", "JS"]
"What's a typical use case for anonymous functions?";false;["Semi-Senior","Frontend", "JS"]
"What's the difference between host objects and native objects?";false;["Senior","Frontend", "JS"]
"Explain the difference between: function Person(){}, var person = Person(), and var person = new Person()?";false;["Semi-Senior","Frontend", "JS"]
"Explain the differences on the usage of foo between function foo() {} and var foo = function() {}";false;["Senior","Frontend", "JS"]
"Can you explain what Function.call and Function.apply do? What's the notable difference between the two?";false;["Senior","Frontend", "JS"]
"Explain Function.prototype.bind.";false;["Senior","Frontend", "JS"]
"What's the difference between feature detection, feature inference, and using the UA string?";false;["Semi-Senior","Frontend", "JS"]
"Explain "hoisting".";false;["Senior","Frontend", "JS"]
"Describe event bubbling.";false;["Semi-Senior","Frontend", "JS"]
"Describe event capturing.";false;["Semi-Senior","Frontend", "JS"]
"What's the difference between an "attribute" and a "property"?";false;["Junior","Frontend", "JS"]
"What are the pros and cons of extending built-in JavaScript objects?";false;["Semi-Senior","Frontend", "JS"]
"What is the difference between == and ===?";1;["Junior","Frontend", "JS"]
"Explain the same-origin policy with regards to JavaScript.";false;["Junior","Frontend", "JS"]
"Why is it called a Ternary operator, what does the word "Ternary" indicate?";false;["Semi-Senior","Frontend", "JS"]
"What is strict mode? What are some of the advantages/disadvantages of using it?";false;["Semi-Senior","Frontend", "JS"]
"What are some of the advantages/disadvantages of writing JavaScript code in a language that compiles to JavaScript?";false;["Senior","Frontend", "JS"]
"What tools and techniques do you use debugging JavaScript code?";false;["Semi-Senior","Frontend", "JS"]
"Explain the difference between mutable and immutable objects.";false;["Semi-Senior","Frontend", "JS"]
"Explain the difference between synchronous and asynchronous functions.";false;["Junior","Frontend", "JS"]
"What is event loop?";false;["Junior","Frontend", "JS"]
"What are the differences between variables created using let, var or const?";true;["Junior","Frontend", "JS"]
"What are the differences between ES6 class and ES5 function constructors?";false;["Semi-Senior","Frontend", "JS"]
"Can you offer a use case for the new arrow => function syntax? How does this new syntax differ from other functions?;false;["Semi-Senior","Frontend", "JS"]
"What advantage is there for using the arrow syntax for a method in a constructor?";false;["","Frontend", "JS"]
"What is the definition of a higher-order function?";false;["Semi-Senior","Frontend", "JS"]
"Can you give an example for destructuring an object or an array?";false;["Semi-Senior","Frontend", "JS"]
"Can you give an example of generating a string with ES6 Template Literals?";false;["Semi-Senior","Frontend", "JS"]
"Can you give an example of a curry function and why this syntax offers an advantage?";false;["Senior","Frontend", "JS"]
"What are the benefits of using spread syntax and how is it different from rest syntax?";false;["Senior","Frontend", "JS"]
"How can you share code between files?";false;["Semi-Senior","Frontend", "JS"]
"Why you might want to create static class members?";false;["Senior","Frontend", "JS"]
